               Entry              Nevents                           Time                    Temperature                         Energy                  O*                  CO*                   O2                   CO                  CO2
                   1                    0         0.0000000000000000E+00         9.0000000000000000E+02         0.0000000000000000E+00                   0                    0                    0                    0                    0
                   2                 2544         1.0000000000000000E+00         9.0000000000000000E+02         0.0000000000000000E+00                   0                  124                    0                 -124                    0
                   3                 8824         2.0000000000000000E+00         9.0000000000000000E+02         0.0000000000000000E+00                   0                  248                    0                 -248                    0
                   4                17298         3.0000000000000000E+00         9.0000000000000000E+02         0.0000000000000000E+00                   0                  356                    0                 -356                    0
                   5                26888         4.0000000000000000E+00         9.0000000000000000E+02         0.0000000000000000E+00                   0                  449                    0                 -449                    0
                   6                36910         5.0000000000000000E+00         9.0000000000000000E+02         0.0000000000000000E+00                   0                  519                    0                 -519                    0
                   7                46817         6.0000000000000000E+00         9.0000000000000000E+02         0.0000000000000000E+00                   0                  586                    0                 -586                    0
                   8                56327         7.0000000000000000E+00         9.0000000000000000E+02         0.0000000000000000E+00                   0                  641                    0                 -641                    0
                   9                65367         8.0000000000000000E+00         9.0000000000000000E+02         0.0000000000000000E+00                   0                  687                    0                 -687                    0
                  10                73645         9.0000000000000000E+00         9.0000000000000000E+02         0.0000000000000000E+00                   0                  731                    0                 -731                    0
                  11                81184         1.0000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  777                    0                 -777                    0
                  12                87756         1.1000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  813                    0                 -813                    0
                  13                93592         1.2000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  835                    0                 -835                    0
                  14                98849         1.3000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  852                    0                 -852                    0
                  15               103791         1.4000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  870                    0                 -870                    0
                  16               108205         1.5000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  882                    0                 -882                    0
                  17               112080         1.6000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  895                    0                 -895                    0
                  18               115744         1.7000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  907                    0                 -907                    0
                  19               118833         1.8000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  919                    0                 -919                    0
                  20               121719         1.9000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  929                    0                 -929                    0
                  21               124208         2.0000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  940                    0                 -940                    0
                  22               126279         2.1000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  948                    0                 -948                    0
                  23               128118         2.2000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  955                    0                 -955                    0
                  24               129743         2.3000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  962                    0                 -962                    0
                  25               131223         2.4000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  965                    0                 -965                    0
                  26               132418         2.5000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  970                    0                 -970                    0
                  27               133567         2.6000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  973                    0                 -973                    0
                  28               134602         2.7000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  976                    0                 -976                    0
                  29               135462         2.8000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  979                    0                 -979                    0
                  30               136240         2.9000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  982                    0                 -982                    0
                  31               136923         3.0000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  982                    0                 -982                    0
                  32               137586         3.1000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  985                    0                 -985                    0
                  33               138163         3.2000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  987                    0                 -987                    0
                  34               138675         3.3000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  988                    0                 -988                    0
                  35               139117         3.4000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  990                    0                 -990                    0
                  36               139488         3.5000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  991                    0                 -991                    0
                  37               139843         3.6000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  991                    0                 -991                    0
                  38               140134         3.7000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  993                    0                 -993                    0
                  39               140403         3.8000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  993                    0                 -993                    0
                  40               140688         3.9000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  994                    0                 -994                    0
                  41               140889         4.0000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  995                    0                 -995                    0
                  42               141079         4.1000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  995                    0                 -995                    0
                  43               141291         4.2000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  995                    0                 -995                    0
                  44               141498         4.3000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  995                    0                 -995                    0
                  45               141679         4.4000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  996                    0                 -996                    0
                  46               141808         4.5000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  997                    0                 -997                    0
                  47               141920         4.6000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  998                    0                 -998                    0
