               Entry              Nevents                           Time                    Temperature                         Energy                  O*                  CO*                   O2                   CO                  CO2
                   1                    0         0.0000000000000000E+00         9.0000000000000000E+02         0.0000000000000000E+00                   0                    0                    0                    0                    0
                   2                 2592         1.0000000000000000E+00         9.0000000000000000E+02         0.0000000000000000E+00                   0                  132                    0                 -132                    0
                   3                 8776         2.0000000000000000E+00         9.0000000000000000E+02         0.0000000000000000E+00                   0                  241                    0                 -241                    0
                   4                17250         3.0000000000000000E+00         9.0000000000000000E+02         0.0000000000000000E+00                   0                  334                    0                 -334                    0
                   5                26683         4.0000000000000000E+00         9.0000000000000000E+02         0.0000000000000000E+00                   0                  434                    0                 -434                    0
                   6                36733         5.0000000000000000E+00         9.0000000000000000E+02         0.0000000000000000E+00                   0                  498                    0                 -498                    0
                   7                46965         6.0000000000000000E+00         9.0000000000000000E+02         0.0000000000000000E+00                   0                  564                    0                 -564                    0
                   8                56873         7.0000000000000000E+00         9.0000000000000000E+02         0.0000000000000000E+00                   0                  629                    0                 -629                    0
                   9                66008         8.0000000000000000E+00         9.0000000000000000E+02         0.0000000000000000E+00                   0                  676                    0                 -676                    0
                  10                74420         9.0000000000000000E+00         9.0000000000000000E+02         0.0000000000000000E+00                   0                  716                    0                 -716                    0
                  11                82113         1.0000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  761                    0                 -761                    0
                  12                89061         1.1000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  791                    0                 -791                    0
                  13                95155         1.2000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  829                    0                 -829                    0
                  14               100594         1.3000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  853                    0                 -853                    0
                  15               105419         1.4000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  872                    0                 -872                    0
                  16               109573         1.5000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  894                    0                 -894                    0
                  17               113285         1.6000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  910                    0                 -910                    0
                  18               116410         1.7000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  923                    0                 -923                    0
                  19               119165         1.8000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  930                    0                 -930                    0
                  20               121560         1.9000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  942                    0                 -942                    0
                  21               123600         2.0000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  949                    0                 -949                    0
                  22               125449         2.1000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  956                    0                 -956                    0
                  23               126918         2.2000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  964                    0                 -964                    0
                  24               128232         2.3000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  968                    0                 -968                    0
                  25               129504         2.4000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  969                    0                 -969                    0
                  26               130599         2.5000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  974                    0                 -974                    0
                  27               131493         2.6000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  979                    0                 -979                    0
                  28               132250         2.7000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  984                    0                 -984                    0
                  29               132723         2.8000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  992                    0                 -992                    0
                  30               132979         2.9000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  994                    0                 -994                    0
                  31               133207         3.0000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  995                    0                 -995                    0
                  32               133413         3.1000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  995                    0                 -995                    0
                  33               133597         3.2000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  996                    0                 -996                    0
                  34               133762         3.3000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  996                    0                 -996                    0
                  35               133911         3.4000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  997                    0                 -997                    0
                  36               134029         3.5000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  997                    0                 -997                    0
                  37               134150         3.6000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  997                    0                 -997                    0
                  38               134243         3.7000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  998                    0                 -998                    0
                  39               134319         3.8000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  998                    0                 -998                    0
                  40               134382         3.9000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  999                    0                 -999                    0
                  41               134426         4.0000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  999                    0                 -999                    0
                  42               134463         4.1000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  999                    0                 -999                    0
                  43               134504         4.2000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  999                    0                 -999                    0
